,Unnamed: 1,FG%,3P%,2P%,FT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
46,Duncan Robinson,0.47,0.446,0.654,1.1,0.2,3.7,3.9,1.7,0.6,0.3,1.2,3.2,16.3,MIA
47,Kendrick Nunn,0.439,0.35,0.505,1.6,0.4,2.9,3.3,4.0,1.0,0.3,2.1,2.8,18.8,MIA
48,Giannis Antetokounmpo,0.5529999999999999,0.304,0.631,7.5,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9,MIL
49,Khris Middleton,0.4970000000000001,0.415,0.546,4.0,0.9,6.6,7.4,5.1,1.0,0.1,2.7,2.8,25.2,MIL
50,Brook Lopez,0.435,0.314,0.5489999999999999,2.5,1.1,5.0,6.2,2.0,0.9,3.2,1.4,3.2,16.1,MIL
51,Josh Okogie,0.4270000000000001,0.266,0.529,3.5,2.0,4.2,6.2,2.3,1.6,0.6,2.0,3.2,12.4,MIN
52,Jarrett Culver,0.404,0.299,0.471,1.3,1.7,3.4,5.1,2.6,1.4,0.9,1.9,3.0,13.9,MIN
53,Andrew Wiggins,0.444,0.331,0.505,3.7,1.2,4.2,5.4,3.8,0.7,0.9,2.6,2.5,23.3,MIN
54,Jrue Holiday,0.455,0.353,0.509,2.2,1.3,3.7,5.0,6.9,1.7,0.8,3.1,2.5,19.8,NOP
55,Brandon Ingram,0.463,0.391,0.501,5.4,0.9,5.6,6.5,4.4,1.0,0.7,3.2,3.1,25.3,NOP
56,Lonzo Ball,0.403,0.375,0.442,0.8,1.3,5.5,6.8,7.8,1.6,0.7,3.4,2.3,13.2,NOP
57,Julius Randle,0.46,0.277,0.515,4.5,2.6,8.2,10.8,3.4,0.9,0.4,3.3,3.1,21.6,NYK
58,RJ Barrett,0.402,0.32,0.4320000000000001,3.3,1.1,4.8,5.9,3.0,1.2,0.4,2.6,2.6,17.0,NYK
59,Mitchell Robinson,0.742,0.0,0.742,2.1,4.7,6.2,10.9,0.9,1.3,3.0,0.9,4.9,15.0,NYK
60,Shai Gilgeous-Alexander,0.471,0.34700000000000003,0.512,4.3,0.7,5.4,6.1,3.4,1.2,0.7,2.0,1.7,19.7,OKC
61,Chris Paul,0.489,0.365,0.5539999999999999,4.1,0.4,5.3,5.7,7.7,1.8,0.2,2.6,2.6,20.1,OKC
62,Dennis Schröder,0.469,0.385,0.513,3.6,0.3,3.9,4.3,4.7,0.8,0.3,3.0,2.6,22.1,OKC
63,Evan Fournier,0.467,0.399,0.527,3.1,0.3,2.7,3.0,3.6,1.2,0.3,2.2,2.8,21.2,ORL
64,Aaron Gordon,0.4370000000000001,0.308,0.494,2.7,1.9,6.6,8.5,4.1,0.9,0.7,1.8,2.2,16.0,ORL
65,Nikola Vučević,0.477,0.339,0.531,2.4,2.5,9.6,12.1,4.0,1.0,0.8,1.6,2.4,21.9,ORL
66,Tobias Harris,0.471,0.3670000000000001,0.517,2.5,1.0,6.2,7.2,3.3,0.8,0.6,1.5,2.4,20.6,PHI
67,Al Horford,0.45,0.35,0.516,1.1,1.8,6.3,8.1,4.8,0.9,1.1,1.4,2.5,14.2,PHI
68,Ben Simmons,0.58,0.28600000000000003,0.583,3.3,2.0,5.9,7.9,8.1,2.1,0.6,3.6,3.3,16.7,PHI
69,Devin Booker,0.489,0.354,0.5489999999999999,6.7,0.4,3.8,4.3,6.5,0.7,0.3,3.8,3.1,26.7,PHO
70,Mikal Bridges,0.51,0.361,0.61,1.8,1.2,4.0,5.1,2.3,1.8,0.8,1.3,2.9,11.8,PHO
71,Ricky Rubio,0.415,0.361,0.439,3.5,0.8,4.6,5.4,10.2,1.7,0.2,3.1,3.0,15.1,PHO
72,CJ McCollum,0.451,0.379,0.494,2.0,0.6,3.5,4.2,4.4,0.8,0.6,1.8,2.6,21.9,POR
73,Damian Lillard,0.463,0.401,0.524,6.7,0.5,3.7,4.1,7.7,1.0,0.3,2.8,1.7,28.8,POR
74,Hassan Whiteside,0.621,0.5710000000000001,0.622,2.9,4.6,11.6,16.2,1.4,0.5,3.5,2.2,3.5,18.6,POR
75,Harrison Barnes,0.46,0.381,0.501,3.1,1.1,4.0,5.1,2.3,0.6,0.2,1.3,1.3,15.2,SAC
