,Rk,Unnamed: 1,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Eric Paschall,23,60,26,1654,6.9,13.9,0.49700000000000005,0.8,2.8,0.287,6.1,11.1,0.55,3.6,4.6,0.774,1.8,4.2,6.0,2.8,0.7,0.3,2.0,2.7,18.2
1,2,Glenn Robinson,26,48,48,1516,5.8,12.0,0.48100000000000004,1.6,4.0,0.4,4.2,8.0,0.522,1.5,1.8,0.851,1.6,3.8,5.4,2.0,1.1,0.3,1.2,1.9,14.7
2,3,Damion Lee,27,49,36,1423,5.4,12.9,0.41700000000000004,2.2,6.0,0.35600000000000004,3.2,6.9,0.47100000000000003,2.8,3.2,0.873,0.8,5.2,6.0,3.4,1.3,0.2,1.7,2.9,15.7
0,1,James Harden,30,68,68,2483,9.7,22.0,0.444,4.3,12.2,0.355,5.4,9.7,0.556,10.0,11.6,0.865,1.0,5.5,6.5,7.4,1.8,0.9,4.5,3.3,33.9
1,2,P.J. Tucker,34,72,72,2467,2.6,6.2,0.415,1.6,4.4,0.358,1.0,1.9,0.551,0.6,0.7,0.813,1.6,5.3,6.9,1.7,1.1,0.5,1.1,3.3,7.3
2,3,Russell Westbrook,31,57,57,2049,10.6,22.5,0.47200000000000003,1.0,3.7,0.258,9.6,18.8,0.514,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.3
0,1,T.J. Warren,26,67,67,2202,8.7,16.3,0.536,1.5,3.7,0.40299999999999997,7.2,12.6,0.575,2.7,3.3,0.8190000000000001,1.1,3.5,4.6,1.6,1.3,0.6,1.4,3.1,21.7
1,2,Domantas Sabonis,23,62,62,2159,7.6,14.1,0.54,0.3,1.1,0.254,7.4,13.0,0.565,3.6,4.9,0.723,3.2,9.7,12.9,5.2,0.8,0.5,2.8,3.3,19.1
2,3,Justin Holiday,30,73,6,1826,4.1,9.6,0.428,2.6,6.5,0.405,1.5,3.1,0.47700000000000004,1.0,1.3,0.7909999999999999,0.6,4.1,4.7,1.8,1.7,0.9,0.9,2.7,11.9
0,1,Lou Williams,33,65,8,1864,7.6,18.1,0.418,2.1,6.1,0.35200000000000004,5.4,12.0,0.451,5.6,6.5,0.861,0.6,3.3,3.9,7.0,0.8,0.2,3.5,1.5,22.9
1,2,Kawhi Leonard,28,57,57,1848,10.4,22.1,0.47,2.4,6.3,0.37799999999999995,8.0,15.7,0.506,6.9,7.8,0.8859999999999999,1.1,6.8,7.8,5.5,2.0,0.6,2.9,2.2,30.1
2,3,Montrezl Harrell,26,63,2,1749,9.7,16.7,0.58,0.0,0.4,0.0,9.7,16.3,0.593,4.8,7.2,0.6579999999999999,3.4,5.8,9.2,2.2,0.8,1.5,2.2,3.0,24.1
0,1,LeBron James,35,67,67,2316,10.0,20.3,0.493,2.3,6.6,0.348,7.7,13.6,0.564,4.1,5.9,0.693,1.0,7.1,8.2,10.6,1.2,0.6,4.1,1.8,26.4
1,2,Anthony Davis,26,62,62,2131,9.3,18.5,0.503,1.2,3.7,0.33,8.1,14.8,0.546,7.5,8.9,0.846,2.4,7.3,9.7,3.4,1.5,2.4,2.6,2.6,27.3
2,3,Kentavious Caldwell-Pope,26,69,26,1762,4.8,10.4,0.467,1.9,4.9,0.385,3.0,5.5,0.541,1.6,2.1,0.775,0.8,2.1,2.9,2.3,1.2,0.3,1.3,2.6,13.2
0,1,Dillon Brooks,24,73,73,2112,7.4,18.2,0.40700000000000003,2.5,7.0,0.358,4.9,11.2,0.43799999999999994,2.8,3.5,0.8079999999999999,1.2,3.0,4.1,2.6,1.1,0.5,2.1,4.7,20.1
1,2,Ja Morant,20,67,67,2074,7.8,16.3,0.47700000000000004,1.0,3.1,0.335,6.7,13.2,0.511,4.1,5.3,0.7759999999999999,0.9,3.6,4.5,8.5,1.0,0.3,3.8,1.9,20.7
