,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
74,7:00p,New Orleans Pelicans,105,Boston Celtics,140,Box Score,,"19,156",
75,7:00p,Chicago Bulls,108,Detroit Pistons,99,Box Score,,"15,951",
76,8:00p,Los Angeles Lakers,125,Oklahoma City Thunder,110,Box Score,,"18,203",
77,8:30p,Philadelphia 76ers,91,Dallas Mavericks,109,Box Score,,"20,244",
78,9:00p,Cleveland Cavaliers,111,Denver Nuggets,103,Box Score,,"19,533",
79,10:00p,Milwaukee Bucks,122,Portland Trail Blazers,101,Box Score,,"19,843",
80,3:30p,Miami Heat,121,New York Knicks,124,Box Score,,"18,861",
81,3:30p,Utah Jazz,127,Washington Wizards,116,Box Score,,"15,953",
82,6:00p,Atlanta Hawks,86,Brooklyn Nets,108,Box Score,,"15,201",
83,6:00p,Golden State Warriors,102,Memphis Grizzlies,122,Box Score,,"16,408",
84,6:00p,San Antonio Spurs,105,Toronto Raptors,104,Box Score,,"19,800",
85,8:00p,Los Angeles Clippers,104,Denver Nuggets,114,Box Score,,"19,520",
86,8:00p,Charlotte Hornets,92,Phoenix Suns,100,Box Score,,"14,751",
87,7:00p,New Orleans Pelicans,117,Detroit Pistons,110,Box Score,OT,"13,780",
88,7:00p,Philadelphia 76ers,95,Indiana Pacers,101,Box Score,,"15,257",
89,7:30p,Chicago Bulls,101,Boston Celtics,113,Box Score,,"19,156",
90,8:00p,Oklahoma City Thunder,117,Minnesota Timberwolves,104,Box Score,,"11,044",
91,10:00p,Charlotte Hornets,112,Portland Trail Blazers,115,Box Score,,"19,111",
92,10:00p,Orlando Magic,114,Sacramento Kings,112,Box Score,,"16,299",
93,10:30p,Cleveland Cavaliers,99,Los Angeles Lakers,128,Box Score,,"18,997",
94,7:30p,Phoenix Suns,110,Atlanta Hawks,123,Box Score,,"16,060",
95,7:30p,Utah Jazz,118,Brooklyn Nets,107,Box Score,,"15,381",
96,8:00p,Houston Rockets,110,Memphis Grizzlies,121,Box Score,,"16,181",
97,8:00p,New York Knicks,102,Milwaukee Bucks,128,Box Score,,"17,590",
98,10:30p,Dallas Mavericks,124,Golden State Warriors,97,Box Score,,"18,064",
99,10:30p,Cleveland Cavaliers,103,Los Angeles Clippers,128,Box Score,,"19,068",
100,7:00p,Detroit Pistons,116,Boston Celtics,103,Box Score,,"19,156",
101,7:00p,Brooklyn Nets,106,Philadelphia 76ers,117,Box Score,,"20,416",
102,7:30p,San Antonio Spurs,100,Miami Heat,106,Box Score,,"19,704",
103,8:00p,Washington Wizards,106,Chicago Bulls,115,Box Score,,"19,382",
