,Visitor/Neutral,PTS,Home/Neutral,PTS.1
87,New Orleans Pelicans,117.0,Detroit Pistons,110.0
88,Philadelphia 76ers,95.0,Indiana Pacers,101.0
89,Chicago Bulls,101.0,Boston Celtics,113.0
90,Oklahoma City Thunder,117.0,Minnesota Timberwolves,104.0
91,Charlotte Hornets,112.0,Portland Trail Blazers,115.0
92,Orlando Magic,114.0,Sacramento Kings,112.0
93,Cleveland Cavaliers,99.0,Los Angeles Lakers,128.0
94,Phoenix Suns,110.0,Atlanta Hawks,123.0
95,Utah Jazz,118.0,Brooklyn Nets,107.0
96,Houston Rockets,110.0,Memphis Grizzlies,121.0
97,New York Knicks,102.0,Milwaukee Bucks,128.0
98,Dallas Mavericks,124.0,Golden State Warriors,97.0
99,Cleveland Cavaliers,103.0,Los Angeles Clippers,128.0
100,Detroit Pistons,116.0,Boston Celtics,103.0
101,Brooklyn Nets,106.0,Philadelphia 76ers,117.0
102,San Antonio Spurs,100.0,Miami Heat,106.0
103,Washington Wizards,106.0,Chicago Bulls,115.0
104,Indiana Pacers,104.0,Minnesota Timberwolves,99.0
105,Toronto Raptors,130.0,Oklahoma City Thunder,121.0
106,Charlotte Hornets,86.0,Denver Nuggets,100.0
107,Portland Trail Blazers,117.0,Houston Rockets,107.0
108,Dallas Mavericks,127.0,Sacramento Kings,123.0
109,Orlando Magic,119.0,Los Angeles Lakers,118.0
110,Phoenix Suns,121.0,New York Knicks,98.0
111,Boston Celtics,123.0,Milwaukee Bucks,128.0
112,Utah Jazz,132.0,New Orleans Pelicans,138.0
113,Denver Nuggets,134.0,Golden State Warriors,131.0
114,Orlando Magic,95.0,Los Angeles Clippers,122.0
115,Minnesota Timberwolves,114.0,Indiana Pacers,116.0
116,Chicago Bulls,89.0,Philadelphia 76ers,100.0
117,Washington Wizards,111.0,Toronto Raptors,140.0
118,Cleveland Cavaliers,109.0,Memphis Grizzlies,113.0
119,Miami Heat,115.0,Oklahoma City Thunder,108.0
120,Atlanta Hawks,121.0,San Antonio Spurs,120.0
121,Portland Trail Blazers,112.0,Dallas Mavericks,120.0
122,Los Angeles Clippers,133.0,New Orleans Pelicans,130.0
123,Milwaukee Bucks,117.0,Brooklyn Nets,97.0
124,Phoenix Suns,123.0,Boston Celtics,119.0
125,Detroit Pistons,136.0,Atlanta Hawks,103.0
126,Philadelphia 76ers,90.0,New York Knicks,87.0
127,Cleveland Cavaliers,116.0,Chicago Bulls,118.0
128,Toronto Raptors,122.0,Minnesota Timberwolves,112.0
129,Orlando Magic,95.0,Golden State Warriors,109.0
130,Los Angeles Lakers,124.0,Houston Rockets,115.0
131,Portland Trail Blazers,106.0,Oklahoma City Thunder,119.0
132,Sacramento Kings,101.0,Utah Jazz,123.0
133,Miami Heat,102.0,San Antonio Spurs,107.0
134,Indiana Pacers,115.0,Denver Nuggets,107.0
135,Detroit Pistons,100.0,Washington Wizards,106.0
136,Toronto Raptors,122.0,Atlanta Hawks,117.0
137,Philadelphia 76ers,117.0,Brooklyn Nets,111.0
138,Orlando Magic,106.0,Charlotte Hornets,83.0
139,New York Knicks,106.0,Cleveland Cavaliers,86.0
140,Oklahoma City Thunder,112.0,Houston Rockets,107.0
141,New Orleans Pelicans,126.0,Memphis Grizzlies,116.0
142,Sacramento Kings,113.0,Miami Heat,118.0
143,Chicago Bulls,98.0,Milwaukee Bucks,111.0
144,Los Angeles Lakers,107.0,Boston Celtics,139.0
145,Denver Nuggets,107.0,Minnesota Timberwolves,100.0
146,San Antonio Spurs,120.0,Phoenix Suns,118.0
147,Indiana Pacers,88.0,Utah Jazz,118.0
148,Golden State Warriors,124.0,Portland Trail Blazers,129.0
149,Los Angeles Clippers,110.0,Dallas Mavericks,107.0
150,Sacramento Kings,106.0,Detroit Pistons,127.0
151,Oklahoma City Thunder,120.0,Orlando Magic,114.0
152,Philadelphia 76ers,95.0,Toronto Raptors,107.0
153,Los Angeles Clippers,95.0,Atlanta Hawks,102.0
154,Memphis Grizzlies,95.0,Boston Celtics,119.0
155,Washington Wizards,129.0,Miami Heat,134.0
156,Los Angeles Lakers,100.0,New York Knicks,92.0
157,Minnesota Timberwolves,110.0,Chicago Bulls,117.0
158,Denver Nuggets,105.0,Houston Rockets,121.0
159,Indiana Pacers,112.0,Phoenix Suns,87.0
160,San Antonio Spurs,121.0,New Orleans Pelicans,117.0
161,Utah Jazz,129.0,Golden State Warriors,96.0
162,Washington Wizards,124.0,Cleveland Cavaliers,112.0
163,Los Angeles Lakers,128.0,Brooklyn Nets,113.0
164,Dallas Mavericks,133.0,Portland Trail Blazers,125.0
165,Milwaukee Bucks,116.0,Charlotte Hornets,103.0
166,Memphis Grizzlies,125.0,Detroit Pistons,112.0
167,Boston Celtics,109.0,Orlando Magic,98.0
168,Toronto Raptors,118.0,New York Knicks,112.0
169,Sacramento Kings,98.0,Chicago Bulls,81.0
170,Los Angeles Clippers,122.0,Miami Heat,117.0
171,Houston Rockets,131.0,Minnesota Timberwolves,124.0
172,Denver Nuggets,113.0,New Orleans Pelicans,106.0
173,Atlanta Hawks,111.0,Oklahoma City Thunder,140.0
174,Phoenix Suns,103.0,San Antonio Spurs,99.0
175,Indiana Pacers,129.0,Golden State Warriors,118.0
176,Dallas Mavericks,107.0,Utah Jazz,112.0
177,Brooklyn Nets,121.0,Detroit Pistons,111.0
178,Chicago Bulls,118.0,Cleveland Cavaliers,106.0
179,Oklahoma City Thunder,113.0,Minnesota Timberwolves,104.0
180,Los Angeles Lakers,91.0,Philadelphia 76ers,108.0
181,Houston Rockets,110.0,Denver Nuggets,117.0
182,Toronto Raptors,110.0,San Antonio Spurs,106.0
183,Washington Wizards,133.0,Atlanta Hawks,152.0
184,Phoenix Suns,109.0,Memphis Grizzlies,114.0
185,Boston Celtics,108.0,New Orleans Pelicans,123.0
186,Brooklyn Nets,97.0,New York Knicks,110.0
187,Los Angeles Clippers,112.0,Orlando Magic,97.0
188,Indiana Pacers,129.0,Portland Trail Blazers,139.0
189,Cleveland Cavaliers,115.0,Detroit Pistons,100.0
190,Orlando Magic,92.0,Miami Heat,113.0
191,San Antonio Spurs,109.0,Chicago Bulls,110.0
192,Sacramento Kings,133.0,Minnesota Timberwolves,129.0
193,Dallas Mavericks,107.0,Oklahoma City Thunder,97.0
194,Houston Rockets,126.0,Utah Jazz,117.0
195,New York Knicks,92.0,Charlotte Hornets,97.0
196,Golden State Warriors,104.0,Philadelphia 76ers,115.0
197,New Orleans Pelicans,125.0,Cleveland Cavaliers,111.0
198,Atlanta Hawks,114.0,Toronto Raptors,130.0
199,Denver Nuggets,96.0,Memphis Grizzlies,104.0
200,Boston Celtics,109.0,Miami Heat,101.0
201,Washington Wizards,131.0,Milwaukee Bucks,151.0
202,Phoenix Suns,133.0,Dallas Mavericks,104.0
203,Chicago Bulls,106.0,Indiana Pacers,115.0
204,Detroit Pistons,115.0,Brooklyn Nets,125.0
205,Memphis Grizzlies,127.0,New York Knicks,106.0
206,Utah Jazz,120.0,San Antonio Spurs,127.0
207,Houston Rockets,112.0,Portland Trail Blazers,125.0
208,Oklahoma City Thunder,120.0,Sacramento Kings,100.0
209,Toronto Raptors,115.0,Cleveland Cavaliers,109.0
210,Charlotte Hornets,107.0,Washington Wizards,121.0
211,Philadelphia 76ers,117.0,Atlanta Hawks,127.0
212,Golden State Warriors,104.0,Boston Celtics,119.0
213,Utah Jazz,100.0,Denver Nuggets,106.0
214,Sacramento Kings,124.0,Los Angeles Clippers,103.0
215,Toronto Raptors,105.0,Detroit Pistons,92.0
216,Chicago Bulls,118.0,Brooklyn Nets,133.0
217,Dallas Mavericks,121.0,Houston Rockets,128.0
218,Memphis Grizzlies,111.0,New Orleans Pelicans,139.0
219,Denver Nuggets,127.0,Milwaukee Bucks,115.0
220,Oklahoma City Thunder,111.0,Phoenix Suns,107.0
221,Portland Trail Blazers,127.0,Los Angeles Lakers,119.0
222,Minnesota Timberwolves,106.0,Los Angeles Clippers,118.0
223,New York Knicks,92.0,Indiana Pacers,85.0
224,Miami Heat,102.0,Orlando Magic,89.0
225,Golden State Warriors,131.0,Cleveland Cavaliers,112.0
226,Brooklyn Nets,107.0,Washington Wizards,113.0
227,Philadelphia 76ers,95.0,Boston Celtics,116.0
228,Atlanta Hawks,100.0,Dallas Mavericks,123.0
229,Charlotte Hornets,90.0,San Antonio Spurs,114.0
230,Los Angeles Lakers,129.0,Sacramento Kings,113.0
231,Utah Jazz,107.0,Portland Trail Blazers,124.0
232,Denver Nuggets,123.0,Detroit Pistons,128.0
233,New Orleans Pelicans,109.0,Houston Rockets,117.0
234,Phoenix Suns,108.0,Milwaukee Bucks,129.0
235,Chicago Bulls,102.0,Toronto Raptors,129.0
236,Orlando Magic,112.0,Charlotte Hornets,100.0
237,New York Knicks,139.0,Cleveland Cavaliers,134.0
238,Dallas Mavericks,112.0,Indiana Pacers,103.0
239,Golden State Warriors,125.0,Washington Wizards,117.0
240,Boston Celtics,123.0,Atlanta Hawks,115.0
241,Phoenix Suns,97.0,Brooklyn Nets,119.0
242,Philadelphia 76ers,106.0,Miami Heat,137.0
243,Detroit Pistons,82.0,Memphis Grizzlies,96.0
244,Minnesota Timberwolves,109.0,Sacramento Kings,113.0
245,San Antonio Spurs,105.0,Los Angeles Clippers,108.0
246,Milwaukee Bucks,120.0,New Orleans Pelicans,108.0
247,Charlotte Hornets,110.0,Houston Rockets,125.0
248,Portland Trail Blazers,99.0,Denver Nuggets,127.0
249,San Antonio Spurs,102.0,Los Angeles Lakers,129.0
250,Phoenix Suns,108.0,Detroit Pistons,116.0
251,Orlando Magic,100.0,Boston Celtics,116.0
252,Golden State Warriors,88.0,Brooklyn Nets,129.0
253,Indiana Pacers,118.0,Toronto Raptors,119.0
254,Atlanta Hawks,127.0,Minnesota Timberwolves,120.0
255,Cleveland Cavaliers,103.0,Oklahoma City Thunder,109.0
256,Memphis Grizzlies,121.0,Dallas Mavericks,107.0
257,Denver Nuggets,98.0,Utah Jazz,95.0
258,Miami Heat,111.0,Los Angeles Clippers,128.0
259,Orlando Magic,103.0,New York Knicks,105.0
260,New Orleans Pelicans,125.0,Chicago Bulls,119.0
261,Philadelphia 76ers,101.0,Milwaukee Bucks,112.0
262,San Antonio Spurs,117.0,Portland Trail Blazers,125.0
263,Houston Rockets,121.0,Los Angeles Lakers,111.0
264,Memphis Grizzlies,107.0,Philadelphia 76ers,119.0
265,Dallas Mavericks,118.0,Washington Wizards,119.0
266,Atlanta Hawks,107.0,Boston Celtics,112.0
267,Toronto Raptors,115.0,Indiana Pacers,106.0
268,Detroit Pistons,101.0,Oklahoma City Thunder,108.0
269,Houston Rockets,91.0,Phoenix Suns,127.0
270,Miami Heat,97.0,Sacramento Kings,105.0
271,Portland Trail Blazers,114.0,Utah Jazz,117.0
272,Milwaukee Bucks,111.0,Orlando Magic,95.0
273,Dallas Mavericks,116.0,Charlotte Hornets,100.0
274,New York Knicks,95.0,Detroit Pistons,92.0
275,New Orleans Pelicans,124.0,Indiana Pacers,117.0
276,Brooklyn Nets,118.0,Toronto Raptors,119.0
277,Los Angeles Clippers,115.0,Minnesota Timberwolves,142.0
278,Los Angeles Lakers,125.0,Golden State Warriors,120.0
279,Denver Nuggets,117.0,Phoenix Suns,108.0
280,San Antonio Spurs,102.0,Sacramento Kings,122.0
281,Boston Celtics,112.0,Oklahoma City Thunder,111.0
282,New York Knicks,135.0,Atlanta Hawks,140.0
283,Chicago Bulls,111.0,Philadelphia 76ers,118.0
284,Memphis Grizzlies,106.0,Washington Wizards,99.0
285,Utah Jazz,114.0,Houston Rockets,113.0
286,Los Angeles Clippers,133.0,Cleveland Cavaliers,92.0
287,Miami Heat,109.0,Portland Trail Blazers,115.0
288,Charlotte Hornets,87.0,Detroit Pistons,76.0
289,Brooklyn Nets,106.0,Indiana Pacers,105.0
290,Atlanta Hawks,126.0,Orlando Magic,135.0
291,Minnesota Timberwolves,126.0,Toronto Raptors,137.0
292,Sacramento Kings,111.0,Milwaukee Bucks,123.0
293,Utah Jazz,123.0,Dallas Mavericks,119.0
294,San Antonio Spurs,120.0,Denver Nuggets,127.0
295,Miami Heat,113.0,Golden State Warriors,101.0
296,Phoenix Suns,100.0,Los Angeles Lakers,125.0
297,Los Angeles Clippers,103.0,Philadelphia 76ers,110.0
298,Chicago Bulls,114.0,Washington Wizards,126.0
299,Portland Trail Blazers,117.0,New Orleans Pelicans,138.0
300,San Antonio Spurs,114.0,Oklahoma City Thunder,106.0
301,Boston Celtics,105.0,Houston Rockets,116.0
302,Atlanta Hawks,105.0,Cleveland Cavaliers,127.0
303,Detroit Pistons,112.0,Orlando Magic,116.0
304,Toronto Raptors,91.0,Brooklyn Nets,101.0
305,Milwaukee Bucks,111.0,Indiana Pacers,118.0
306,Washington Wizards,114.0,New York Knicks,96.0
307,Portland Trail Blazers,104.0,Memphis Grizzlies,111.0
308,Charlotte Hornets,115.0,Minnesota Timberwolves,108.0
309,Sacramento Kings,111.0,Dallas Mavericks,130.0
310,Golden State Warriors,106.0,Phoenix Suns,112.0
311,Miami Heat,101.0,Utah Jazz,116.0
312,Los Angeles Lakers,120.0,Denver Nuggets,116.0
313,Los Angeles Clippers,133.0,Boston Celtics,141.0
314,Oklahoma City Thunder,123.0,New Orleans Pelicans,118.0
315,Milwaukee Bucks,126.0,Detroit Pistons,106.0
316,Miami Heat,124.0,Atlanta Hawks,129.0
317,Charlotte Hornets,103.0,Chicago Bulls,93.0
318,Brooklyn Nets,104.0,Philadelphia 76ers,112.0
319,Memphis Grizzlies,125.0,Sacramento Kings,129.0
320,Houston Rockets,135.0,Golden State Warriors,105.0
321,Dallas Mavericks,122.0,Orlando Magic,106.0
322,Cleveland Cavaliers,113.0,Washington Wizards,108.0
323,Indiana Pacers,106.0,New York Knicks,98.0
324,Phoenix Suns,101.0,Toronto Raptors,118.0
325,Boston Celtics,127.0,Minnesota Timberwolves,117.0
326,Denver Nuggets,101.0,Oklahoma City Thunder,113.0
327,San Antonio Spurs,113.0,Utah Jazz,104.0
328,Memphis Grizzlies,105.0,Los Angeles Lakers,117.0
329,New Orleans Pelicans,128.0,Portland Trail Blazers,115.0
330,Sacramento Kings,112.0,Los Angeles Clippers,103.0
331,Brooklyn Nets,115.0,Charlotte Hornets,86.0
332,Dallas Mavericks,107.0,Atlanta Hawks,111.0
333,Phoenix Suns,112.0,Chicago Bulls,104.0
334,Cleveland Cavaliers,105.0,Miami Heat,124.0
335,Philadelphia 76ers,98.0,Milwaukee Bucks,119.0
336,Houston Rockets,120.0,Utah Jazz,110.0
337,Boston Celtics,112.0,Los Angeles Lakers,114.0
338,Minnesota Timberwolves,116.0,Denver Nuggets,128.0
339,Indiana Pacers,81.0,Toronto Raptors,127.0
340,Washington Wizards,117.0,Chicago Bulls,126.0
341,San Antonio Spurs,103.0,Oklahoma City Thunder,131.0
342,New Orleans Pelicans,115.0,Golden State Warriors,101.0
343,Detroit Pistons,104.0,Portland Trail Blazers,107.0
344,Miami Heat,119.0,Cleveland Cavaliers,125.0
345,Atlanta Hawks,112.0,Philadelphia 76ers,129.0
346,Milwaukee Bucks,137.0,Washington Wizards,134.0
347,Orlando Magic,115.0,Brooklyn Nets,113.0
348,New York Knicks,112.0,Houston Rockets,123.0
349,Minnesota Timberwolves,123.0,Dallas Mavericks,139.0
350,Phoenix Suns,131.0,Utah Jazz,111.0
351,Memphis Grizzlies,97.0,Los Angeles Clippers,124.0
352,Charlotte Hornets,80.0,Indiana Pacers,119.0
353,Milwaukee Bucks,108.0,Toronto Raptors,97.0
354,Oklahoma City Thunder,124.0,Chicago Bulls,122.0
355,Detroit Pistons,98.0,Denver Nuggets,115.0
356,New Orleans Pelicans,109.0,Los Angeles Lakers,118.0
357,Boston Celtics,118.0,Portland Trail Blazers,106.0
358,Sacramento Kings,112.0,Golden State Warriors,94.0
359,New York Knicks,101.0,Charlotte Hornets,107.0
360,Philadelphia 76ers,94.0,Cleveland Cavaliers,108.0
361,Brooklyn Nets,106.0,Washington Wizards,110.0
362,Orlando Magic,130.0,Atlanta Hawks,120.0
363,Minnesota Timberwolves,129.0,Miami Heat,126.0
364,Memphis Grizzlies,112.0,Houston Rockets,140.0
